Day,Start Time,End Time,Course title,Room,Instructor,Actual Class Duration
T,8:30 AM,10:10 AM,Heidegger,W-321,Najeeb Jan,100
T,10:0 AM,11:15 AM,Algorithms: Design & Analysis,W-321,Waqar Saleem,75
T,11:30 AM,12:45 PM,Computer Vision,W-321,Muhammad Farhan,75
T,1:0 PM,2:40 PM,Data Analytics,W-321,Sahaab Bader Sheikh,100
T,2:55 PM,4:10 PM,Gender and Human Rights,W-321,Mahso Gichki,75
T,4:25 PM,5:40 PM,SRS: Karachi,W-321,Coline Ferrant,75
T,8:30 AM,9:45 AM,The Ethnographic Eye/I,E-215,Aaron Mulvany,75
T,8:30 AM,9:45 AM,Rumi,E-215,Noman Baig,75
T,10:0 AM,11:15 AM,Musicking: Anthropology of Mus,E-215,Daniyal Ahmed,75
T,11:30 AM,2:20 PM,Data Structures & Algo Lab,E-215,Maria Samad,170
T,2:35 PM,3:50 PM,Calculus II,E-215,Aatyka Fatima,75
T,4:5 PM,5:45 PM,Ghazal Gayeki,E-215,Shahid Hamid,100
T,8:30 AM,9:45 AM,What is Modernity?,E-011,Nahrain Al-Mousawi,75
T,8:30 AM,9:20 AM,Signals and Systems,E-011,Shafayat Abrar,50
T,10:0 AM,10:50 AM,Algorithms: Design & Analysis,E-011,TBD .,50
T,11:5 AM,12:20 PM,Principles of Macroeconomics,E-011,Mohammad Moeini Feizabadi,75
T,12:35 PM,1:50 PM,Intro to Punjabi Sufi Lit,E-011,Naila Pervaiz,75
T,8:30 AM,9:20 AM,Programming Fundamentals,FF-N220,Adeel Soomro,50
T,8:30 AM,11:20 AM,Computer Architecture Lab,FF-N220,Ahmad Usman,170
T,9:35 AM,10:50 AM,Data Structures II,FF-N220,Muhammad Qasim Pasta,75
T,11:5 AM,12:20 PM,Natural Language Processing,FF-N220,Faisal Alvi,75
T,8:30 AM,9:45 AM,Introduction to Biochemistry,E-003,Humaira Jamshed,75
T,8:30 AM,11:20 AM,Design Fictions & Provoca Lab,E-003,Luluwa Murtaza,170
T,10:0 AM,12:50 PM,Computer Architecture Lab,E-003,Haseeb Khan,170
T,1:5 PM,1:55 PM,Programming Fundamentals,E-003,Adeel Soomro,50
T,2:10 PM,3:25 PM,Urban Sustainability,E-003,Farhan Anwar,75
T,3:40 PM,4:55 PM,Signals and Systems,E-003,Adnan Aslam Chaudhry,75
T,5:10 PM,6:25 PM,Digital Logic and Design,E-003,Areeba Rajput,75
T,8:30 AM,9:45 AM,Hikma I,PG-1,Muzammil Patel,75
T,1:0 PM,1:50 PM,Discrete Mathematics,PG-1,Shams Arfeen,50
T,2:5 PM,3:20 PM,Data Structures II,PG-1,Syeda Saleha Raza,75
T,5:30 PM,6:20 PM,Social Theory I,PG-1,Ana Tawfiq Hussain,50
T,8:30 AM,9:45 AM,Musicking: Anthropology of Mus,W-114,Daniyal Ahmed,75
T,8:30 AM,10:10 AM,Illustration and Protest,W-114,Isma Hasan,100
T,10:0 AM,11:15 AM,Understanding the Human Body,W-114,Humaira Jamshed,75
T,11:30 AM,12:45 PM,Hikma I,W-114,Hamza Bin Sajjad,75
T,1:0 PM,2:15 PM,Discrete Mathematics,W-114,Muhammad Zafar,75
T,2:30 PM,3:45 PM,Analog & Digital Communication,W-114,Tariq Mumtaz,75
T,4:0 PM,5:15 PM,Comparative Empires,W-114,Mariam Sabri,75
T,5:30 PM,6:20 PM,Understanding Histories,W-114,Abdullah Mirza,50
T,10:0 AM,12:30 PM,Intro to Design and Media,W-111,Rakhshaan Qazi,150
T,2:15 PM,3:30 PM,Hikma I,W-111,Hamza Bin Sajjad,75
T,4:50 PM,6:5 PM,Discrete Mathematics,W-111,Waqar Saleem,75
T,10:0 AM,11:15 AM,Algorithms: Design & Analysis,LG-C001,Faisal Alvi,75
T,11:30 AM,12:45 PM,Data Structures & Algorithms,LG-C001,Faiza Azhar,75
T,1:0 PM,2:15 PM,Digital Signal Processing,LG-C001,Saad Baig,75
T,2:30 PM,3:20 PM,Electromagnetic Theory,LG-C001,Shafayat Abrar,50
T,3:35 PM,5:15 PM,Public Intellectuals,LG-C001,Muhammad Haris,100
T,8:30 AM,9:45 AM,What is Modernity?,LG26,Nimra Farooq,75
T,8:30 AM,9:45 AM,Natural Language Processing,LG26,Faisal Alvi,75
T,8:30 AM,9:45 AM,Jehan-e-Urdu,LG26,Inam Ullah,75
T,10:0 AM,11:15 AM,Data Structures II,LG26,Fahad Javed,75
T,11:30 AM,12:45 PM,Algorithms: Design & Analysis,LG26,Waqar Saleem,75
T,1:0 PM,2:15 PM,GPU Accelerated Computing,LG26,Muhammad Mobeen Movania,75
T,2:30 PM,3:45 PM,Development & Environmentalism,LG26,Tajreen Jafri,75
T,4:0 PM,5:15 PM,Power Electronics,LG26,Ishtiyaq Makda,75
T,5:30 PM,6:20 PM,Electromagnetic Theory,LG26,Shafayat Abrar,50
T,8:30 AM,9:45 AM,Computer Architecture,LG-C025,Sorath Hansrajani,75
T,10:0 AM,11:15 AM,Computer Architecture,LG-C025,Farhan Khan,75
T,11:30 AM,12:45 PM,Discrete Mathematics,LG-C025,Muhammad Zafar,75
T,1:0 PM,3:50 PM,Power Electronics (Lab),LG-C025,Haleema Qamar,170
T,4:5 PM,5:20 PM,Renewable Energy,LG-C025,Mohamed Elsayed Orabi Mustafa,75
W,8:30 AM,9:45 AM,Intro to Cultural Anthropology,FF-W242,Basharat Issa,75
W,10:0 AM,11:15 AM,Understanding the Human Body,FF-W242,Humaira Jamshed,75
W,11:30 AM,12:45 PM,Computer Architecture,FF-W242,Munzir Zafar,75
W,1:0 PM,2:15 PM,What is Modernity?,FF-W242,Marcelo Alves de Paula Lima,75
W,2:30 PM,3:45 PM,Data Structures & Algorithms,FF-W242,Maria Samad,75
W,8:30 AM,10:10 AM,Quantitative Research Methods,GF-E101,Zaineb Aftab Hussain Makati,100
